"Date","Price","Open","High","Low","Vol.","Change %"
"11/06/2019","71.010","70.769","71.036","70.769","","0.33%"
"11/07/2019","71.047","71.018","71.118","70.886","","0.05%"
"11/08/2019","71.360","71.280","71.364","71.165","","0.44%"
"11/11/2019","71.570","71.370","71.610","71.290","","0.29%"
"11/12/2019","71.790","71.582","71.790","71.544","","0.31%"
"11/13/2019","72.150","71.760","72.150","71.657","","0.50%"
"11/14/2019","71.966","72.082","72.252","71.857","","-0.26%"
"11/15/2019","71.650","71.800","71.878","71.594","","-0.44%"
"11/18/2019","71.945","71.665","71.945","71.565","","0.41%"
"11/19/2019","71.830","71.920","72.015","71.605","","-0.16%"
"11/20/2019","71.746","71.833","71.916","71.643","","-0.12%"
"11/21/2019","71.750","71.790","71.905","71.717","","0.01%"
"11/22/2019","71.792","71.756","71.876","71.662","","0.06%"
"11/25/2019","71.689","71.695","71.763","71.610","","-0.14%"
"11/26/2019","71.480","71.684","71.690","71.480","","-0.29%"
"11/27/2019","71.260","71.450","71.493","71.233","","-0.31%"
"11/28/2019","71.505","71.245","71.665","71.235","","0.34%"
"11/29/2019","71.749","71.613","71.872","71.603","","0.34%"
"12/02/2019","71.634","71.795","71.825","71.603","","-0.16%"
"12/03/2019","71.740","71.630","71.816","71.532","","0.15%"
"12/04/2019","71.474","71.803","71.823","71.452","","-0.37%"
"12/05/2019","71.252","71.505","71.678","71.180","","-0.31%"
"12/06/2019","71.283","71.245","71.446","71.174","","0.04%"
"12/09/2019","70.970","71.300","71.300","70.970","","-0.44%"
"12/10/2019","70.810","70.962","71.042","70.808","","-0.23%"
"12/11/2019","70.710","70.823","70.942","70.710","","-0.14%"
"12/12/2019","70.570","70.670","70.910","70.531","","-0.20%"
"12/13/2019","70.798","70.553","70.883","70.503","","0.32%"
"12/16/2019","70.915","70.755","71.050","70.755","","0.17%"
"12/17/2019","71.035","70.955","71.065","70.832","","0.17%"
"12/18/2019","71.000","71.010","71.125","70.924","","-0.05%"
"12/19/2019","71.180","70.993","71.214","70.880","","0.25%"
"12/20/2019","71.060","71.130","71.256","71.045","","-0.17%"
"12/23/2019","71.220","71.113","71.300","71.110","","0.23%"
"12/24/2019","71.280","71.210","71.317","71.153","","0.08%"
"12/25/2019","71.280","71.280","71.280","71.280","","0.00%"
"12/26/2019","71.300","71.260","71.352","71.230","","0.03%"
"12/27/2019","71.455","71.305","71.505","71.185","","0.22%"
"12/30/2019","71.320","71.340","71.427","71.290","","-0.19%"
"12/31/2019","71.355","71.275","71.385","71.225","","0.05%"
"01/01/2020","71.227","71.365","71.377","71.225","","-0.18%"
"01/02/2020","71.350","71.235","71.408","71.235","","0.17%"
"01/03/2020","71.770","71.610","71.844","71.520","","0.59%"
"01/06/2020","71.867","72.011","72.123","71.834","","0.14%"
"01/07/2020","71.845","71.765","71.923","71.670","","-0.03%"
"01/08/2020","71.510","71.954","72.114","71.466","","-0.47%"
"01/09/2020","71.210","71.510","71.544","71.134","","-0.42%"
"01/10/2020","70.960","71.240","71.260","70.848","","-0.35%"
"01/13/2020","70.710","70.805","70.945","70.710","","-0.35%"
"01/14/2020","70.850","70.720","70.975","70.720","","0.20%"
"01/15/2020","70.720","71.000","71.023","70.682","","-0.18%"
"01/16/2020","70.978","70.775","71.007","70.775","","0.36%"
"01/17/2020","71.079","70.953","71.099","70.933","","0.14%"
"01/20/2020","71.040","71.070","71.160","71.010","","-0.05%"
"01/21/2020","71.170","71.190","71.250","71.121","","0.18%"
"01/22/2020","71.080","71.180","71.265","71.076","","-0.13%"
"01/23/2020","71.400","71.190","71.465","71.169","","0.45%"
"01/24/2020","71.330","71.340","71.371","71.220","","-0.10%"
"01/27/2020","71.450","71.475","71.520","71.373","","0.17%"
"01/28/2020","71.200","71.432","71.432","71.200","","-0.35%"
"01/29/2020","71.310","71.240","71.411","71.165","","0.15%"
"01/30/2020","71.550","71.420","71.660","71.390","","0.34%"
"01/31/2020","71.555","71.575","71.578","71.294","","0.01%"
"02/03/2020","71.324","71.523","71.653","71.268","","-0.32%"
"02/04/2020","71.115","71.215","71.298","71.090","","-0.29%"
"02/05/2020","71.190","71.110","71.300","71.110","","0.11%"
"02/06/2020","71.225","71.181","71.300","71.107","","0.05%"
"02/07/2020","71.515","71.260","71.538","71.213","","0.41%"
"02/10/2020","71.290","71.400","71.457","71.285","","-0.31%"
"02/11/2020","71.285","71.235","71.330","71.179","","-0.01%"
"02/12/2020","71.306","71.211","71.391","71.211","","0.03%"
"02/13/2020","71.330","71.360","71.511","71.254","","0.03%"
"02/14/2020","71.529","71.294","71.597","71.272","","0.28%"
"02/17/2020","71.340","71.430","71.507","71.260","","-0.26%"
"02/18/2020","71.585","71.415","71.611","71.375","","0.34%"
"02/19/2020","71.600","71.573","71.600","71.452","","0.02%"
"02/20/2020","71.680","71.735","71.820","71.530","","0.11%"
"02/21/2020","71.880","71.665","72.056","71.665","","0.28%"
"02/24/2020","71.935","71.915","72.015","71.775","","0.08%"
"02/25/2020","71.820","71.870","71.920","71.611","","-0.16%"
"02/26/2020","71.580","71.833","71.873","71.532","","-0.33%"
"02/27/2020","71.655","71.645","71.704","71.545","","0.10%"
"02/28/2020","72.539","71.755","72.574","71.755","","1.23%"
"03/02/2020","72.882","72.520","72.954","72.028","","0.47%"
"03/03/2020","73.050","72.480","73.397","72.440","","0.23%"
"03/04/2020","73.540","73.060","73.640","72.910","","0.67%"
"03/05/2020","73.506","73.518","73.565","73.044","","-0.05%"
"03/06/2020","74.004","73.873","74.073","73.529","","0.68%"
"03/09/2020","74.196","73.975","74.254","73.850","","0.26%"
"03/10/2020","74.150","74.248","74.248","74.150","","-0.06%"
"03/11/2020","73.682","73.792","74.015","73.532","","-0.63%"
"03/12/2020","74.576","74.134","74.579","74.074","","1.21%"
"03/13/2020","73.840","74.561","74.561","73.732","","-0.99%"
"03/16/2020","74.003","74.006","74.359","73.999","","0.22%"
"03/17/2020","74.062","74.072","74.315","73.858","","0.08%"
"03/18/2020","74.550","73.974","74.550","73.924","","0.66%"
"03/19/2020","74.786","74.855","75.311","74.667","","0.32%"
"03/20/2020","75.399","74.804","75.399","74.704","","0.82%"
"03/23/2020","76.335","75.380","76.335","75.380","","1.24%"
"03/24/2020","76.379","76.079","76.386","75.950","","0.06%"
"03/25/2020","76.375","76.375","76.375","76.375","","-0.01%"
"03/26/2020","74.889","75.864","75.954","74.889","","-1.95%"
"03/27/2020","75.472","74.603","75.528","74.353","","0.78%"
"03/30/2020","75.410","75.140","75.670","75.093","","-0.08%"
"03/31/2020","75.343","75.530","75.685","75.280","","-0.09%"
"04/01/2020","76.404","75.315","76.422","75.315","","1.41%"
"04/02/2020","76.400","76.387","76.431","76.346","","-0.01%"
"04/03/2020","76.240","75.954","76.304","75.764","","-0.21%"
"04/06/2020","75.975","76.253","76.268","75.902","","-0.35%"
"04/07/2020","75.645","75.988","76.008","75.543","","-0.43%"
"04/08/2020","75.945","75.638","76.405","75.638","","0.40%"
"04/09/2020","76.300","76.103","76.555","76.019","","0.47%"
"04/10/2020","75.879","75.903","75.937","75.849","","-0.55%"
"04/13/2020","76.249","75.881","76.449","75.881","","0.49%"
"04/14/2020","76.015","76.321","76.376","76.015","","-0.31%"
"04/15/2020","76.564","76.038","76.654","75.936","","0.72%"
"04/16/2020","76.805","76.638","76.927","76.563","","0.31%"
"04/17/2020","76.550","76.829","76.829","76.238","","-0.33%"
"04/20/2020","76.575","76.553","76.680","76.283","","0.03%"
"04/21/2020","76.975","76.585","77.006","76.585","","0.52%"
"04/22/2020","76.410","76.938","77.018","76.410","","-0.73%"
"04/23/2020","75.895","76.468","76.468","75.826","","-0.67%"
"04/24/2020","76.270","75.825","76.488","75.825","","0.49%"
"04/27/2020","76.229","76.270","76.347","76.019","","-0.05%"
"04/28/2020","76.065","76.127","76.450","75.815","","-0.22%"
"04/29/2020","75.455","76.063","76.110","75.455","","-0.80%"
"04/30/2020","75.080","75.405","75.430","74.910","","-0.50%"
"05/01/2020","75.749","75.320","75.805","75.294","","0.89%"
"05/04/2020","75.640","75.758","75.820","75.581","","-0.14%"
"05/05/2020","75.710","75.650","75.870","75.489","","0.09%"
"05/06/2020","76.105","75.828","76.111","75.653","","0.52%"
"05/07/2020","75.794","76.099","76.152","75.780","","-0.41%"
"05/08/2020","75.535","75.611","75.665","75.285","","-0.34%"
